Wavelenght (m);Intensity (counts)
507.230;551.2999878
507.815;584.7999878
508.399;528.2999878
508.983;547.5999756
509.567;566.7000122
510.151;612.2000122
510.736;669
511.320;780.7000122
511.904;682.7999878
512.488;795.5
513.072;755.2999878
513.656;677.2000122
514.240;604
514.823;594.9000244
515.407;566.4000244
515.991;649.9000244
516.575;625.9000244
517.159;614.2999878
517.742;544
518.326;614
518.909;642.2000122
519.493;578.7000122
520.077;596.5999756
520.660;585.9000244
521.244;610.7999878
521.827;676.5999756
522.410;673.5999756
522.994;619
523.577;631.2999878
524.160;631.0999756
524.744;603.7000122
525.327;665.9000244
525.910;672.9000244
526.493;663.5999756
527.076;728.7999878
527.659;813.2000122
528.242;750.9000244
528.825;822.4000244
529.408;816.7000122
529.991;904.2000122
530.574;946.5999756
531.157;1099.800049
531.740;1015.700012
532.322;1050.5
532.905;1041.300049
533.488;1116
534.070;1199.599976
534.653;1446.099976
535.236;1677.599976
535.818;2015.099976
536.401;2227
536.983;2337.399902
537.566;2276.100098
538.148;2272.800049
538.730;2484
539.313;2930.399902
539.895;3265.199951
540.477;3622.5
541.059;3941.5
541.642;4497.600098
542.224;4881.799805
542.806;5580.200195
543.388;6680.600098
543.970;8702.299805
544.552;12493.5
545.134;16115.09961
545.716;4003.600098
546.298;960
546.879;894.7999878
547.461;6806
548.043;8324
548.625;8322.099609
549.206;10847.7998
549.788;13058.7002
550.370;15963.09961
550.951;10362.59961
551.533;9320
552.114;8331.299805
552.696;6714.700195
553.277;5913
553.858;4350
554.440;3267.399902
555.021;2940.899902
555.602;2589.899902
556.184;2361.100098
556.765;2132.199951
557.346;2100.600098
557.927;1849.5
558.508;1725.800049
559.089;1607
559.670;1548
560.251;1562.099976
560.832;1438
561.413;1464.199951
561.994;1414
562.575;1319.800049
563.155;1302.400024
563.736;1293.199951
564.317;1300.5
564.897;1318.300049
565.478;1278.300049
566.059;1339
566.639;1628.699951
567.220;1796.099976
567.800;1865.400024
568.381;1956.800049
568.961;1802.800049
569.541;1880.300049
570.122;2077.800049
570.702;2267.600098
571.282;2683.300049
571.862;2882.199951
572.443;3178.899902
573.023;3563
573.603;4037.5
574.183;5012.600098
574.763;6616.700195
575.343;9734.5
575.923;16105.2998
576.503;11866.7002
577.083;8735.700195
577.662;8280.400391
578.242;7871.299805
578.822;8361.799805
579.402;8394.799805
579.981;8775.299805
580.561;11428
581.140;11425.09961
581.720;12976.2998
582.300;12985.2998
582.879;13025.40039
583.458;9346.299805
584.038;7256.799805
584.617;6372.5
585.197;5224.100098
585.776;5093.200195
586.355;3896
586.934;2689.300049
587.513;2300.199951
588.093;2300.600098
588.672;2220.699951
589.251;2037.900024
589.830;2039.699951
590.409;1580.400024
590.988;1328.400024
591.567;1277.199951
592.145;1293.099976
592.724;2290.600098
593.303;2496
593.882;2462.899902
594.460;2173.800049
595.039;1115.699951
595.618;995.4000244
596.196;947.2999878
596.775;854.9000244
597.353;913
597.932;835
598.510;752
599.089;764.5
599.667;796
600.245;704.5
600.824;759.4000244
601.402;703.5
601.980;813.7000122
602.558;747.2000122
603.136;1167.900024
603.715;2406.699951
604.293;2587.300049
604.871;2648.199951
605.449;1942.199951
606.027;885.4000244
606.604;900.5
607.182;776.5999756
607.760;836.5
608.338;756
608.916;721.7000122
609.493;641.7000122
610.071;595.9000244
610.649;565.9000244
611.226;611.2000122
611.804;731.9000244
612.381;751.2000122
612.959;770.2999878
613.536;708.4000244
614.113;546.5
614.691;683.7999878
615.268;547.0999756
615.845;544.5999756
616.423;534.7000122
617.000;488.3999939
617.577;534.9000244
618.154;540.2999878
618.731;497.2000122
